open_time_ms,close
1789691183000,2441.00000000
1789691184000,2440.99000000
1789691185000,2440.99000000
1789691186000,2440.99000000
1789691187000,2441.00000000
1789691188000,2441.00000000
1789691189000,2441.00000000
1789691190000,2441.00000000
1789691191000,2440.99000000
1789691192000,2440.99000000
1789691193000,2440.99000000
1789691194000,2440.99000000
1789691195000,2440.99000000
1789691196000,2440.99000000
1789691197000,2441.00000000
1789691198000,2441.00000000
1789691199000,2440.99000000
1789691200000,2440.99000000
1789691201000,2440.99000000
1789691202000,2441.00000000
1789691203000,2441.00000000
1789691204000,2440.99000000
1789691205000,2440.99000000
1789691206000,2441.00000000
1789691207000,2440.99000000
1789691208000,2441.00000000
1789691209000,2441.00000000
1789691210000,2441.00000000
1789691211000,2441.00000000
1789691212000,2441.00000000
1789691213000,2440.99000000
1789691214000,2441.00000000
1789691215000,2441.00000000
1789691216000,2441.00000000
1789691217000,2441.00000000
1789691218000,2441.00000000
1789691219000,2441.00000000
1789691220000,2440.99000000
1789691221000,2440.99000000
1789691222000,2440.99000000
1789691223000,2441.00000000
1789691224000,2441.00000000
1789691225000,2441.00000000
1789691226000,2441.00000000
1789691227000,2440.99000000
1789691228000,2440.99000000
1789691229000,2441.00000000
1789691230000,2441.00000000
1789691231000,2441.00000000
1789691232000,2441.00000000
1789691233000,2441.00000000
1789691234000,2441.00000000
1789691235000,2440.99000000
1789691236000,2440.99000000
1789691237000,2440.99000000
1789691238000,2440.99000000
1789691239000,2440.99000000
1789691240000,2441.00000000
1789691241000,2441.00000000
1789691242000,2440.99000000
1789691243000,2440.98000000
1789691244000,2440.98000000
1789691245000,2440.75000000
1789691246000,2440.74000000
1789691247000,2440.63000000
1789691248000,2440.31000000
1789691249000,2440.31000000
1789691250000,2440.31000000
1789691251000,2440.31000000
1789691252000,2440.31000000
1789691253000,2440.31000000
1789691254000,2440.31000000
1789691255000,2440.31000000
1789691256000,2440.31000000
1789691257000,2440.30000000
1789691258000,2440.31000000
1789691259000,2440.31000000
1789691260000,2440.31000000
1789691261000,2440.31000000
1789691262000,2440.30000000
1789691263000,2440.30000000
1789691264000,2440.30000000
1789691265000,2439.70000000
1789691266000,2439.69000000
1789691267000,2439.69000000
1789691268000,2439.69000000
1789691269000,2439.70000000
1789691270000,2439.70000000
1789691271000,2439.70000000
1789691272000,2439.70000000
1789691273000,2439.70000000
1789691274000,2439.70000000
1789691275000,2439.48000000
1789691276000,2439.01000000
1789691277000,2439.01000000
1789691278000,2439.01000000
1789691279000,2439.01000000
1789691280000,2439.01000000
1789691281000,2439.01000000
1789691282000,2439.01000000
1789691283000,2439.01000000
1789691284000,2439.00000000
1789691285000,2439.00000000
1789691286000,2439.00000000
1789691287000,2439.01000000
1789691288000,2439.01000000
1789691289000,2439.01000000
1789691290000,2439.01000000
1789691291000,2439.00000000
1789691292000,2439.01000000
1789691293000,2439.01000000
1789691294000,2439.01000000
1789691295000,2439.01000000
1789691296000,2439.01000000
1789691297000,2439.01000000
1789691298000,2439.01000000
1789691299000,2439.01000000
1789691300000,2438.92000000
1789691301000,2438.92000000
1789691302000,2438.86000000
1789691303000,2438.86000000
1789691304000,2438.85000000
1789691305000,2438.67000000
1789691306000,2438.48000000
1789691307000,2438.48000000
1789691308000,2438.47000000
1789691309000,2438.47000000
1789691310000,2438.47000000
1789691311000,2438.46000000
1789691312000,2438.46000000
1789691313000,2438.47000000
1789691314000,2438.47000000
1789691315000,2438.46000000
1789691316000,2438.46000000
1789691317000,2438.46000000
1789691318000,2438.46000000
1789691319000,2438.46000000
1789691320000,2438.28000000
1789691321000,2438.28000000
1789691322000,2438.29000000
1789691323000,2438.28000000
1789691324000,2438.28000000
1789691325000,2438.28000000
1789691326000,2438.28000000
1789691327000,2438.29000000
1789691328000,2438.28000000
1789691329000,2438.28000000
1789691330000,2438.28000000
1789691331000,2438.28000000
1789691332000,2438.29000000
1789691333000,2438.29000000
1789691334000,2438.29000000
1789691335000,2438.28000000
1789691336000,2438.28000000
1789691337000,2438.28000000
1789691338000,2438.28000000
1789691339000,2438.28000000
1789691340000,2438.29000000
1789691341000,2438.00000000
1789691342000,2438.00000000
1789691343000,2438.01000000
1789691344000,2438.01000000
1789691345000,2438.01000000
1789691346000,2438.00000000
1789691347000,2438.00000000
1789691348000,2438.00000000
1789691349000,2438.00000000
1789691350000,2438.01000000
1789691351000,2438.01000000
1789691352000,2438.01000000
1789691353000,2437.97000000
1789691354000,2437.56000000
1789691355000,2437.56000000
1789691356000,2437.56000000
1789691357000,2437.56000000
1789691358000,2437.56000000
1789691359000,2437.56000000
1789691360000,2437.55000000
1789691361000,2437.12000000
1789691362000,2437.01000000
1789691363000,2437.07000000
1789691364000,2437.07000000
1789691365000,2437.07000000
1789691366000,2437.07000000
1789691367000,2436.90000000
1789691368000,2436.90000000
1789691369000,2436.90000000
1789691370000,2436.93000000
1789691371000,2437.34000000
1789691372000,2437.55000000
1789691373000,2437.82000000
1789691374000,2437.82000000
1789691375000,2437.86000000
1789691376000,2438.46000000
1789691377000,2438.47000000
1789691378000,2438.47000000
1789691379000,2438.47000000
1789691380000,2438.70000000
1789691381000,2438.76000000
1789691382000,2438.76000000
1789691383000,2438.94000000
1789691384000,2439.11000000
1789691385000,2439.11000000
1789691386000,2439.21000000
1789691387000,2439.30000000
1789691388000,2439.41000000
1789691389000,2439.42000000
1789691390000,2439.42000000
1789691391000,2439.42000000
1789691392000,2439.42000000
1789691393000,2440.18000000
1789691394000,2440.19000000
1789691395000,2440.32000000
