open_time_ms,close
1789691183000,101.17000000
1789691184000,101.15000000
1789691185000,101.16000000
1789691186000,101.16000000
1789691187000,101.15000000
1789691188000,101.16000000
1789691189000,101.16000000
1789691190000,101.16000000
1789691191000,101.16000000
1789691192000,101.15000000
1789691193000,101.15000000
1789691194000,101.15000000
1789691195000,101.16000000
1789691196000,101.15000000
1789691197000,101.14000000
1789691198000,101.14000000
1789691199000,101.14000000
1789691200000,101.14000000
1789691201000,101.14000000
1789691202000,101.14000000
1789691203000,101.12000000
1789691204000,101.12000000
1789691205000,101.12000000
1789691206000,101.12000000
1789691207000,101.12000000
1789691208000,101.12000000
1789691209000,101.12000000
1789691210000,101.12000000
1789691211000,101.12000000
1789691212000,101.13000000
1789691213000,101.13000000
1789691214000,101.12000000
1789691215000,101.12000000
1789691216000,101.12000000
1789691217000,101.12000000
1789691218000,101.12000000
1789691219000,101.13000000
1789691220000,101.12000000
1789691221000,101.12000000
1789691222000,101.13000000
1789691223000,101.13000000
1789691224000,101.13000000
1789691225000,101.13000000
1789691226000,101.13000000
1789691227000,101.13000000
1789691228000,101.13000000
1789691229000,101.13000000
1789691230000,101.13000000
1789691231000,101.13000000
1789691232000,101.13000000
1789691233000,101.13000000
1789691234000,101.13000000
1789691235000,101.13000000
1789691236000,101.13000000
1789691237000,101.13000000
1789691238000,101.13000000
1789691239000,101.13000000
1789691240000,101.13000000
1789691241000,101.13000000
1789691242000,101.13000000
1789691243000,101.12000000
1789691244000,101.12000000
1789691245000,101.12000000
1789691246000,101.12000000
1789691247000,101.12000000
1789691248000,101.10000000
1789691249000,101.10000000
1789691250000,101.10000000
1789691251000,101.09000000
1789691252000,101.09000000
1789691253000,101.09000000
1789691254000,101.10000000
1789691255000,101.10000000
1789691256000,101.10000000
1789691257000,101.10000000
1789691258000,101.10000000
1789691259000,101.08000000
1789691260000,101.08000000
1789691261000,101.09000000
1789691262000,101.09000000
1789691263000,101.09000000
1789691264000,101.09000000
1789691265000,101.08000000
1789691266000,101.08000000
1789691267000,101.08000000
1789691268000,101.08000000
1789691269000,101.08000000
1789691270000,101.08000000
1789691271000,101.06000000
1789691272000,101.06000000
1789691273000,101.07000000
1789691274000,101.07000000
1789691275000,101.03000000
1789691276000,101.03000000
1789691277000,101.02000000
1789691278000,101.02000000
1789691279000,101.01000000
1789691280000,101.01000000
1789691281000,101.04000000
1789691282000,101.04000000
1789691283000,101.04000000
1789691284000,101.04000000
1789691285000,101.04000000
1789691286000,101.03000000
1789691287000,101.04000000
1789691288000,101.04000000
1789691289000,101.04000000
1789691290000,101.04000000
1789691291000,101.04000000
1789691292000,101.04000000
1789691293000,101.04000000
1789691294000,101.03000000
1789691295000,101.04000000
1789691296000,101.03000000
1789691297000,101.04000000
1789691298000,101.04000000
1789691299000,101.04000000
1789691300000,101.04000000
1789691301000,101.04000000
1789691302000,101.04000000
1789691303000,101.04000000
1789691304000,101.04000000
1789691305000,101.04000000
1789691306000,101.04000000
1789691307000,101.02000000
1789691308000,101.00000000
1789691309000,101.00000000
1789691310000,101.00000000
1789691311000,100.98000000
1789691312000,100.99000000
1789691313000,100.99000000
1789691314000,100.99000000
1789691315000,100.99000000
1789691316000,100.98000000
1789691317000,100.98000000
1789691318000,100.98000000
1789691319000,100.98000000
1789691320000,100.98000000
1789691321000,100.98000000
1789691322000,100.97000000
1789691323000,100.97000000
1789691324000,100.97000000
1789691325000,100.96000000
1789691326000,100.97000000
1789691327000,100.97000000
1789691328000,100.97000000
1789691329000,100.97000000
1789691330000,100.96000000
1789691331000,100.95000000
1789691332000,100.96000000
1789691333000,100.96000000
1789691334000,100.96000000
1789691335000,100.96000000
1789691336000,100.96000000
1789691337000,100.96000000
1789691338000,100.96000000
1789691339000,100.96000000
1789691340000,100.96000000
1789691341000,100.97000000
1789691342000,100.97000000
1789691343000,100.97000000
1789691344000,100.97000000
1789691345000,100.97000000
1789691346000,100.97000000
1789691347000,100.97000000
1789691348000,100.97000000
1789691349000,100.94000000
1789691350000,100.94000000
1789691351000,100.94000000
1789691352000,100.94000000
1789691353000,100.94000000
1789691354000,100.94000000
1789691355000,100.94000000
1789691356000,100.94000000
1789691357000,100.94000000
1789691358000,100.94000000
1789691359000,100.95000000
1789691360000,100.95000000
1789691361000,100.93000000
1789691362000,100.92000000
1789691363000,100.93000000
1789691364000,100.93000000
1789691365000,100.92000000
1789691366000,100.92000000
1789691367000,100.92000000
1789691368000,100.92000000
1789691369000,100.90000000
1789691370000,100.90000000
1789691371000,100.90000000
1789691372000,100.90000000
1789691373000,100.91000000
1789691374000,100.92000000
1789691375000,100.92000000
1789691376000,100.94000000
1789691377000,100.93000000
1789691378000,100.93000000
1789691379000,100.94000000
1789691380000,100.94000000
1789691381000,100.94000000
1789691382000,100.94000000
1789691383000,100.96000000
1789691384000,100.96000000
1789691385000,100.96000000
1789691386000,100.96000000
1789691387000,100.97000000
1789691388000,100.98000000
1789691389000,100.98000000
1789691390000,100.98000000
1789691391000,100.98000000
1789691392000,100.98000000
1789691393000,100.99000000
1789691394000,101.00000000
1789691395000,101.00000000
1789691396000,101.01000000
1789691397000,101.01000000
1789691398000,101.01000000
1789691399000,101.01000000
1789691400000,101.00000000
1789691401000,101.02000000
1789691402000,101.02000000
1789691403000,101.02000000
1789691404000,101.02000000
1789691405000,101.02000000
1789691406000,101.03000000
1789691407000,101.03000000
1789691408000,101.04000000
1789691409000,101.04000000
1789691410000,101.04000000
1789691411000,101.06000000
1789691412000,101.06000000
1789691413000,101.07000000
1789691414000,101.07000000
1789691415000,101.07000000
1789691416000,101.06000000
1789691417000,101.06000000
1789691418000,101.07000000
1789691419000,101.06000000
1789691420000,101.06000000
1789691421000,101.06000000
1789691422000,101.06000000
1789691423000,101.07000000
1789691424000,101.06000000
1789691425000,101.06000000
1789691426000,101.07000000
1789691427000,101.07000000
1789691428000,101.07000000
1789691429000,101.07000000
1789691430000,101.07000000
1789691431000,101.06000000
1789691432000,101.07000000
1789691433000,101.07000000
1789691434000,101.07000000
1789691435000,101.07000000
1789691436000,101.07000000
1789691437000,101.07000000
1789691438000,101.05000000
1789691439000,101.03000000
1789691440000,101.03000000
1789691441000,101.03000000
1789691442000,101.04000000
1789691443000,101.04000000
1789691444000,101.04000000
1789691445000,101.04000000
1789691446000,101.04000000
1789691447000,101.04000000
1789691448000,101.04000000
1789691449000,101.04000000
1789691450000,101.05000000
1789691451000,101.06000000
1789691452000,101.06000000
1789691453000,101.06000000
1789691454000,101.06000000
1789691455000,101.06000000
1789691456000,101.06000000
1789691457000,101.06000000
1789691458000,101.07000000
1789691459000,101.07000000
1789691460000,101.08000000
1789691461000,101.08000000
1789691462000,101.08000000
1789691463000,101.07000000
1789691464000,101.08000000
1789691465000,101.09000000
1789691466000,101.09000000
1789691467000,101.09000000
1789691468000,101.08000000
1789691469000,101.08000000
1789691470000,101.09000000
1789691471000,101.09000000
1789691472000,101.09000000
1789691473000,101.09000000
1789691474000,101.08000000
1789691475000,101.09000000
1789691476000,101.09000000
1789691477000,101.09000000
1789691478000,101.09000000
1789691479000,101.09000000
1789691480000,101.08000000
1789691481000,101.08000000
1789691482000,101.08000000
1789691483000,101.08000000
1789691484000,101.08000000
1789691485000,101.07000000
1789691486000,101.08000000
1789691487000,101.07000000
1789691488000,101.07000000
1789691489000,101.08000000
1789691490000,101.08000000
1789691491000,101.08000000
1789691492000,101.08000000
1789691493000,101.08000000
1789691494000,101.08000000
1789691495000,101.08000000
1789691496000,101.08000000
1789691497000,101.08000000
1789691498000,101.07000000
1789691499000,101.08000000
1789691500000,101.09000000
1789691501000,101.10000000
1789691502000,101.10000000
1789691503000,101.10000000
1789691504000,101.10000000
1789691505000,101.09000000
1789691506000,101.15000000
1789691507000,101.16000000
1789691508000,101.17000000
1789691509000,101.18000000
1789691510000,101.18000000
1789691511000,101.18000000
1789691512000,101.18000000
1789691513000,101.17000000
1789691514000,101.17000000
1789691515000,101.17000000
1789691516000,101.17000000
1789691517000,101.16000000
1789691518000,101.17000000
1789691519000,101.16000000
1789691520000,101.16000000
1789691521000,101.17000000
1789691522000,101.17000000
1789691523000,101.17000000
1789691524000,101.16000000
1789691525000,101.16000000
1789691526000,101.16000000
1789691527000,101.17000000
1789691528000,101.17000000
1789691529000,101.16000000
