open_time_ms,close
1789691183000,76368.32000000
1789691184000,76368.32000000
1789691185000,76368.33000000
1789691186000,76368.33000000
1789691187000,76368.33000000
1789691188000,76368.32000000
1789691189000,76368.33000000
1789691190000,76368.32000000
1789691191000,76368.33000000
1789691192000,76368.33000000
1789691193000,76368.32000000
1789691194000,76368.32000000
1789691195000,76368.32000000
1789691196000,76368.33000000
1789691197000,76368.32000000
1789691198000,76368.32000000
1789691199000,76368.32000000
1789691200000,76368.33000000
1789691201000,76368.33000000
1789691202000,76368.33000000
1789691203000,76368.33000000
1789691204000,76368.33000000
1789691205000,76368.33000000
1789691206000,76368.33000000
1789691207000,76368.33000000
1789691208000,76368.33000000
1789691209000,76368.33000000
1789691210000,76368.32000000
1789691211000,76368.33000000
1789691212000,76368.33000000
1789691213000,76368.33000000
1789691214000,76368.32000000
1789691215000,76368.32000000
1789691216000,76368.33000000
1789691217000,76368.32000000
1789691218000,76368.32000000
1789691219000,76368.32000000
1789691220000,76368.33000000
1789691221000,76368.32000000
1789691222000,76368.32000000
1789691223000,76368.33000000
1789691224000,76368.33000000
1789691225000,76368.33000000
1789691226000,76368.32000000
1789691227000,76368.33000000
1789691228000,76368.33000000
1789691229000,76368.33000000
1789691230000,76368.33000000
1789691231000,76368.33000000
1789691232000,76368.33000000
1789691233000,76368.32000000
1789691234000,76368.32000000
1789691235000,76368.32000000
1789691236000,76368.32000000
1789691237000,76368.32000000
1789691238000,76368.32000000
1789691239000,76368.32000000
1789691240000,76368.33000000
1789691241000,76368.32000000
1789691242000,76368.32000000
1789691243000,76368.32000000
1789691244000,76368.32000000
1789691245000,76368.33000000
1789691246000,76368.32000000
1789691247000,76368.32000000
1789691248000,76354.54000000
1789691249000,76354.54000000
1789691250000,76354.55000000
1789691251000,76354.55000000
1789691252000,76354.55000000
1789691253000,76354.54000000
1789691254000,76354.55000000
1789691255000,76354.55000000
1789691256000,76352.55000000
1789691257000,76352.54000000
1789691258000,76352.54000000
1789691259000,76352.54000000
1789691260000,76352.54000000
1789691261000,76352.55000000
1789691262000,76352.54000000
1789691263000,76352.54000000
1789691264000,76352.54000000
1789691265000,76340.77000000
1789691266000,76340.76000000
1789691267000,76340.77000000
1789691268000,76340.76000000
1789691269000,76340.76000000
1789691270000,76340.76000000
1789691271000,76340.76000000
1789691272000,76340.77000000
1789691273000,76340.77000000
1789691274000,76340.77000000
1789691275000,76334.39000000
1789691276000,76334.10000000
1789691277000,76334.11000000
1789691278000,76334.11000000
1789691279000,76334.11000000
1789691280000,76334.10000000
1789691281000,76334.10000000
1789691282000,76334.10000000
1789691283000,76334.11000000
1789691284000,76334.11000000
1789691285000,76334.11000000
1789691286000,76334.11000000
1789691287000,76334.10000000
1789691288000,76334.10000000
1789691289000,76334.10000000
1789691290000,76334.10000000
1789691291000,76334.10000000
1789691292000,76334.10000000
1789691293000,76334.10000000
1789691294000,76334.10000000
1789691295000,76334.11000000
1789691296000,76334.10000000
1789691297000,76334.10000000
1789691298000,76334.10000000
1789691299000,76334.11000000
1789691300000,76334.10000000
1789691301000,76334.11000000
1789691302000,76333.98000000
1789691303000,76333.00000000
1789691304000,76333.00000000
1789691305000,76331.53000000
1789691306000,76322.76000000
1789691307000,76322.75000000
1789691308000,76322.75000000
1789691309000,76322.75000000
1789691310000,76322.75000000
1789691311000,76322.75000000
1789691312000,76316.01000000
1789691313000,76316.01000000
1789691314000,76316.01000000
1789691315000,76316.00000000
1789691316000,76316.01000000
1789691317000,76316.00000000
1789691318000,76316.00000000
1789691319000,76316.01000000
1789691320000,76316.01000000
1789691321000,76316.01000000
1789691322000,76316.00000000
1789691323000,76316.00000000
1789691324000,76316.01000000
1789691325000,76316.01000000
1789691326000,76316.01000000
1789691327000,76316.01000000
1789691328000,76316.01000000
1789691329000,76316.01000000
1789691330000,76316.01000000
1789691331000,76316.01000000
1789691332000,76316.00000000
1789691333000,76316.00000000
1789691334000,76316.00000000
1789691335000,76316.00000000
1789691336000,76316.01000000
1789691337000,76316.01000000
1789691338000,76316.01000000
1789691339000,76316.01000000
1789691340000,76316.01000000
1789691341000,76316.01000000
1789691342000,76316.01000000
1789691343000,76316.01000000
1789691344000,76316.00000000
1789691345000,76315.99000000
1789691346000,76314.10000000
1789691347000,76314.10000000
1789691348000,76314.09000000
1789691349000,76312.00000000
1789691350000,76312.00000000
1789691351000,76312.00000000
1789691352000,76312.00000000
1789691353000,76310.01000000
1789691354000,76310.01000000
1789691355000,76306.01000000
1789691356000,76306.01000000
1789691357000,76306.00000000
1789691358000,76306.01000000
1789691359000,76306.01000000
1789691360000,76306.00000000
1789691361000,76300.00000000
1789691362000,76299.00000000
1789691363000,76298.00000000
1789691364000,76298.00000000
1789691365000,76298.01000000
1789691366000,76298.01000000
1789691367000,76296.00000000
1789691368000,76296.01000000
1789691369000,76296.01000000
1789691370000,76296.01000000
1789691371000,76296.00000000
1789691372000,76298.01000000
1789691373000,76300.47000000
1789691374000,76301.68000000
1789691375000,76305.64000000
1789691376000,76324.27000000
1789691377000,76324.27000000
1789691378000,76324.27000000
1789691379000,76324.27000000
1789691380000,76324.28000000
1789691381000,76324.27000000
1789691382000,76324.28000000
1789691383000,76351.76000000
1789691384000,76358.00000000
1789691385000,76358.00000000
1789691386000,76360.00000000
1789691387000,76360.01000000
1789691388000,76363.16000000
1789691389000,76366.00000000
1789691390000,76366.00000000
1789691391000,76366.00000000
1789691392000,76366.01000000
1789691393000,76368.01000000
1789691394000,76374.01000000
1789691395000,76374.00000000
1789691396000,76374.00000000
1789691397000,76374.00000000
1789691398000,76374.01000000
1789691399000,76374.00000000
1789691400000,76374.00000000
1789691401000,76388.26000000
1789691402000,76388.27000000
1789691403000,76388.27000000
1789691404000,76388.27000000
1789691405000,76388.27000000
1789691406000,76389.16000000
1789691407000,76389.47000000
1789691408000,76389.46000000
1789691409000,76389.47000000
1789691410000,76389.47000000
1789691411000,76389.47000000
1789691412000,76389.47000000
1789691413000,76389.46000000
1789691414000,76389.46000000
1789691415000,76389.46000000
1789691416000,76389.47000000
1789691417000,76389.47000000
1789691418000,76389.46000000
1789691419000,76389.46000000
1789691420000,76389.46000000
1789691421000,76389.46000000
1789691422000,76389.46000000
1789691423000,76389.47000000
1789691424000,76389.47000000
1789691425000,76389.47000000
1789691426000,76389.47000000
1789691427000,76389.46000000
1789691428000,76389.47000000
1789691429000,76389.47000000
1789691430000,76389.47000000
1789691431000,76389.47000000
1789691432000,76389.47000000
1789691433000,76389.47000000
1789691434000,76389.47000000
1789691435000,76389.47000000
1789691436000,76389.47000000
1789691437000,76389.47000000
1789691438000,76388.26000000
1789691439000,76376.01000000
1789691440000,76376.01000000
1789691441000,76376.01000000
1789691442000,76376.01000000
1789691443000,76376.01000000
1789691444000,76376.01000000
1789691445000,76376.01000000
1789691446000,76376.01000000
1789691447000,76376.01000000
1789691448000,76376.01000000
1789691449000,76380.78000000
1789691450000,76380.78000000
1789691451000,76382.01000000
1789691452000,76382.01000000
1789691453000,76382.01000000
1789691454000,76382.01000000
1789691455000,76388.28000000
1789691456000,76388.28000000
